AQI,TEMP,PM2.5,PM10,SO2,NO2,CO,O3,station,AQI_level,date
37.029961006001436,1.3916666666666666,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,Aotizhongxin,Good,2013-03-01
38.96303310886644,0.8125,5.083333333333333,18.958333333333332,16.0,15.333333333333334,387.5,77.79166666666667,Changping,Good,2013-03-01
38.67266067927728,0.8125,6.375,6.270833333333333,3.0,3.7083333333333335,204.16666666666666,81.95833333333333,Dingling,Good,2013-03-01
39.23774373443543,1.325,6.416666666666667,9.875,8.291666666666666,28.229166666666668,389.5833333333333,72.75,Dongsi,Good,2013-03-01
38.72560668680125,1.3916666666666666,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,Guanyuan,Good,2013-03-01
43.31686388296789,1.6916666666666667,8.625,16.875,7.3125,44.041666666666664,860.4166666666666,76.52083333333333,Gucheng,Good,2013-03-01
44.398855176707464,0.016666666666666646,7.541666666666667,12.375,13.791666666666666,10.6875,333.3333333333333,78.64583333333333,Huairou,Good,2013-03-01
38.95343187245884,1.325,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,Nongzhanguan,Good,2013-03-01
39.068040322153344,0.5416666666666666,8.083333333333334,9.333333333333334,3.0,12.708333333333334,345.8333333333333,60.5625,Shunyi,Good,2013-03-01
39.879113018598,1.325,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,Tiantan,Good,2013-03-01
36.51052098235575,1.3916666666666666,8.0,14.291666666666666,11.458333333333334,31.729166666666668,393.75,46.6875,Wanliu,Good,2013-03-01
38.03204975361628,2.0625,8.041666666666666,10.75,7.333333333333333,18.0,322.9166666666667,56.8125,Wanshouxigong,Good,2013-03-01
83.87099784778667,0.6166666666666667,30.75,42.083333333333336,32.666666666666664,66.66666666666667,824.9166666666666,29.75,Aotizhongxin,Moderate,2013-03-02
95.37610331885759,-0.3958333333333333,33.333333333333336,39.833333333333336,37.104166666666664,60.3125,954.1666666666666,29.083333333333332,Changping,Moderate,2013-03-02
98.79122776873943,-0.3958333333333333,34.041666666666664,41.708333333333336,23.708333333333332,56.3308496685606,875.0,24.708333333333332,Dingling,Moderate,2013-03-02
79.97766175857427,0.49166666666666664,30.5,40.583333333333336,26.55385,58.5,966.5833333333334,37.791666666666664,Dongsi,Moderate,2013-03-02
75.49251202590239,0.6166666666666667,26.375,34.875,27.1875,62.854166666666664,841.5833333333334,35.166666666666664,Guanyuan,Moderate,2013-03-02
93.70404370435286,0.8208333333333333,36.916666666666664,51.375,32.791666666666664,36.458333333333336,1479.0416666666667,39.583333333333336,Gucheng,Moderate,2013-03-02
88.38596765930556,-0.9916666666666667,32.708333333333336,41.375,29.333333333333332,49.6034875,749.9583333333334,35.00501666666667,Huairou,Moderate,2013-03-02
80.01352558359146,0.49166666666666664,28.75,37.708333333333336,30.791666666666668,63.541666666666664,962.4166666666666,40.166666666666664,Nongzhanguan,Moderate,2013-03-02
83.03275826211599,0.08333333333333333,32.625,36.916666666666664,17.791666666666668,47.583333333333336,920.8333333333334,40.416666666666664,Shunyi,Moderate,2013-03-02
85.97040822623069,0.49166666666666664,31.708333333333332,37.041666666666664,23.791666666666668,49.458333333333336,914.5833333333334,34.041666666666664,Tiantan,Moderate,2013-03-02
80.69185786640587,0.6166666666666667,29.083333333333332,41.625,32.416666666666664,73.70833333333333,908.3333333333334,17.666666666666668,Wanliu,Moderate,2013-03-02
78.30038936744407,0.6791666666666667,30.916666666666668,40.958333333333336,26.666666666666668,50.333333333333336,879.1666666666666,27.833333333333332,Wanshouxigong,Moderate,2013-03-02
150.74503641473936,5.566666666666666,76.91666666666667,120.54166666666667,39.25,81.0,1620.625,19.125,Aotizhongxin,Unhealthy,2013-03-03
131.52370197284233,5.329166666666667,57.541666666666664,82.66666666666667,30.416666666666668,58.791666666666664,1254.0,31.333333333333332,Changping,Unhealthy for Sensitive Groups,2013-03-03
114.32472307645469,5.329166666666667,43.833333333333336,65.33333333333333,17.020833333333332,41.208333333333336,818.75,41.0,Dingling,Unhealthy for Sensitive Groups,2013-03-03
169.23810403206244,4.9875,98.33333333333333,131.58333333333334,43.977583333333335,93.45833333333333,2132.875,20.333333333333332,Dongsi,Unhealthy,2013-03-03
155.58735504511588,5.566666666666666,81.5,119.08333333333333,39.770833333333336,96.45833333333333,1958.125,16.5,Guanyuan,Unhealthy,2013-03-03
155.10221803908067,6.5625,80.33333333333333,120.04166666666667,37.625,60.104166666666664,2287.605072463768,33.708333333333336,Gucheng,Unhealthy,2013-03-03
130.91357885529106,3.9125,57.625,80.75,21.625,47.625,945.8333333333334,27.833333333333332,Huairou,Unhealthy for Sensitive Groups,2013-03-03
172.1319211096388,4.9875,104.75,135.5,46.833333333333336,105.66666666666667,2299.75,18.583333333333332,Nongzhanguan,Unhealthy,2013-03-03
150.98772837536634,5.029166666666667,76.5,95.20833333333333,24.458333333333332,65.29166666666667,1735.3333333333333,24.541666666666668,Shunyi,Unhealthy,2013-03-03
172.9656656129259,4.9875,98.04166666666667,121.33333333333333,35.416666666666664,82.95833333333333,2028.9583333333333,16.916666666666668,Tiantan,Unhealthy,2013-03-03
153.3160227353052,5.566666666666666,80.125,130.75,40.4375,86.95833333333333,1983.0,12.083333333333334,Wanliu,Unhealthy,2013-03-03
